id_film;url;type_film;multilingues;nationalite;titre;genre;duree;reprise;couleur;note_presse;note_spectateurs;age_acteur;date
13;http://www.allocine.fr/film/fichefilm_gen_cfilm=13.html;Long-métrage;TRUE;yougoslave;J'ai même rencontré des tziganes heureux;Drame;92;FALSE;Couleur;4,8;3,3;81;15/11/2017
14;http://www.allocine.fr/film/fichefilm_gen_cfilm=14.html;Long-métrage;FALSE;italien;Il Bidone;Comédie dramatique;112;TRUE;N&B;;3,8;88;18/10/2000
122;http://www.allocine.fr/film/fichefilm_gen_cfilm=122.html;Long-métrage;FALSE;français;Avoir 20 ans dans les Aurès;Drame;100;TRUE;Couleur;4,6;3,5;55;05/10/2003
161;http://www.allocine.fr/film/fichefilm_gen_cfilm=161.html;Moyen-métrage;FALSE;français;Crin blanc: Le cheval sauvage;Aventure;;TRUE;N&B;4,7;3,5;41,05145448;10/10/2007
251;http://www.allocine.fr/film/fichefilm_gen_cfilm=251.html;Long-métrage;FALSE;français;Le mystère Picasso;Documentaire;78;TRUE;Couleur et N&B;;3,9;41,05145448;04/11/2000
277;http://www.allocine.fr/film/fichefilm_gen_cfilm=277.html;Long-métrage;TRUE;français;La Prise du pouvoir par Louis XIV;Biopic;90;TRUE;Couleur;;3,1;41,05145448;20/05/2004
326;http://www.allocine.fr/film/fichefilm_gen_cfilm=326.html;Long-métrage;FALSE;espagnol;Vivre vite;Drame;99;TRUE;Couleur;;3,6;41,05145448;02/05/2017
335;http://www.allocine.fr/film/fichefilm_gen_cfilm=335.html;Long-métrage;FALSE;britannique;Jeune et innocent;Policier;85;TRUE;N&B;5;3,7;39;23/04/2000
357;http://www.allocine.fr/film/fichefilm_gen_cfilm=357.html;Long-métrage;FALSE;français;L'homme est une femme comme les autres;Comédie dramatique;100;FALSE;Couleur;;2,6;44;11/03/1998
371;http://www.allocine.fr/film/fichefilm_gen_cfilm=371.html;Long-métrage;FALSE;britannique;Noblesse oblige;Comédie;106;TRUE;N&B;;4;85;05/10/2000
373;http://www.allocine.fr/film/fichefilm_gen_cfilm=373.html;Long-métrage;FALSE;britannique;L'Homme au complet blanc;Comédie;85;TRUE;N&B;;3,7;88;10/10/2002
406;http://www.allocine.fr/film/fichefilm_gen_cfilm=406.html;Long-métrage;FALSE;suisse;La Salamandre;Comédie dramatique;;TRUE;N&B;;3,7;63;28/01/2004
470;http://www.allocine.fr/film/fichefilm_gen_cfilm=470.html;Long-métrage;FALSE;britannique;Le Festin nu;Drame;115;FALSE;Couleur;;3,4;44;11/03/1992
472;http://www.allocine.fr/film/fichefilm_gen_cfilm=472.html;Long-métrage;FALSE;français;Model Shop;Comédie dramatique;;TRUE;Couleur;;2,9;81;15/05/2013
486;http://www.allocine.fr/film/fichefilm_gen_cfilm=486.html;Long-métrage;FALSE;français;Promenades d'été;Comédie dramatique;90;FALSE;Couleur;;;33;11/03/1992
507;http://www.allocine.fr/film/fichefilm_gen_cfilm=507.html;Long-métrage;FALSE;italien;Il posto (L'emploi);Comédie dramatique;93;TRUE;N&B;;3,6;41,05145448;24/03/2003
561;http://www.allocine.fr/film/fichefilm_gen_cfilm=561.html;Long-métrage;FALSE;français;Autour du desir;Drame;92;FALSE;Couleur;;3,1;50;04/03/1992
580;http://www.allocine.fr/film/fichefilm_gen_cfilm=580.html;Long-métrage;FALSE;britannique;Moulin Rouge;Biopic;;TRUE;N&B;;3,5;89;14/11/2001
687;http://www.allocine.fr/film/fichefilm_gen_cfilm=687.html;Long-métrage;FALSE;français;Grève party;Comédie;86;FALSE;Couleur;;2;29;04/03/1998
723;http://www.allocine.fr/film/fichefilm_gen_cfilm=723.html;Long-métrage;FALSE;français;L'arrière-pays;Comédie dramatique;90;FALSE;Couleur;;2,7;40;02/09/1998
751;http://www.allocine.fr/film/fichefilm_gen_cfilm=751.html;Long-métrage;FALSE;français;Dormez, je le veux !;Comédie dramatique;98;FALSE;Couleur;;2,9;50;09/09/1998
759;http://www.allocine.fr/film/fichefilm_gen_cfilm=759.html;Long-métrage;TRUE;français;Michael Kael contre la World News Company;Comédie;97;FALSE;Couleur;;2,2;39;18/02/1998
777;http://www.allocine.fr/film/fichefilm_gen_cfilm=777.html;Long-métrage;FALSE;français;Au sud du sud;Documentaire;;FALSE;Couleur;;3;41,05145448;26/02/1992
794;http://www.allocine.fr/film/fichefilm_gen_cfilm=794.html;Long-métrage;FALSE;français;Ville à vendre;Policier;100;FALSE;Couleur;;3,2;64;26/02/1992
795;http://www.allocine.fr/film/fichefilm_gen_cfilm=795.html;Long-métrage;FALSE;français;L'Affût;Comédie dramatique;103;FALSE;Couleur;;2,8;38;26/02/1992
808;http://www.allocine.fr/film/fichefilm_gen_cfilm=808.html;Long-métrage;FALSE;britannique;L'Homme qui voulut être roi;Aventure;;TRUE;Couleur;5;4,1;45;10/04/2002
810;http://www.allocine.fr/film/fichefilm_gen_cfilm=810.html;Long-métrage;TRUE;polonais;Mère Jeanne des Anges;Drame;110;FALSE;N&B;4,3;3,2;79;05/06/2013
821;http://www.allocine.fr/film/fichefilm_gen_cfilm=821.html;Long-métrage;FALSE;suisse;Broken Silence;Comédie dramatique;106;FALSE;Couleur;;;41,05145448;18/02/1998
860;http://www.allocine.fr/film/fichefilm_gen_cfilm=860.html;Long-métrage;FALSE;français;Orphée;Drame;112;TRUE;N&B;5;4;90;06/10/2004
871;http://www.allocine.fr/film/fichefilm_gen_cfilm=871.html;Long-métrage;FALSE;français;Hexagone;Comédie dramatique;90;FALSE;Couleur;;2,8;25;01/01/1994
899;http://www.allocine.fr/film/fichefilm_gen_cfilm=899.html;Long-métrage;FALSE;français;L'Etrangleur;Drame;93;TRUE;Couleur;;3,2;70;06/02/2011
904;http://www.allocine.fr/film/fichefilm_gen_cfilm=904.html;Long-métrage;FALSE;français;L'Affaire des divisions Morituri;Drame;72;FALSE;Couleur et N&B;;;41,05145448;16/03/2011
